time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-3.85185474015e-06,9.0835636883e-06,10.0071197948,0.00172941507911,0.000996386838726,0.0,-0.000238305509958,0.000533521332416,0.237306462952,-0.0156557440174,0.00980034046055,0.0,478.0537484250794,478.79973826487264,479.1455263405849,477.9541196488496
0.12000000000000001,-6.43651769514e-05,0.000128333196401,10.0273123703,0.0129354382892,0.00655736391378,0.0,-0.00239995660819,0.00470451789431,0.435715690223,0.0213396262487,0.0330583153083,0.0,466.4474469013042,468.259880900682,465.5426117105529,468.4279310181326
0.18,-0.000350695136609,0.000685424295066,10.0546490765,0.021313185288,0.0115866151724,0.0,-0.00763147229363,0.0146730572742,0.475474895923,-0.00906867563428,0.0127027671037,0.0,418.80639004701123,417.03266171336526,418.5908762500545,415.93663860287376
0.23999999999999996,-0.0010273517295,0.0019446347353,10.0833752033,0.0207795024987,0.014863996309,0.0,-0.0152291734485,0.0272529877932,0.482056802386,-0.00862778108348,-0.00591173718649,0.0,406.93330098170856,405.2637788889854,406.85358713214976,406.89316663499017
0.3,-0.00226761444033,0.00404116607479,10.1165755594,0.0218905023273,0.0150686914679,0.0,-0.0261264443436,0.0427666845459,0.624550715406,-0.0238591997519,0.0011688801186,0.0,450.1172089596549,450.68983709477953,451.2563771338908,450.0254597778301
0.36000000000000004,-0.00411528816634,0.00702937312755,10.1549497013,0.0260810347728,0.0151308877603,0.0,-0.0354699290335,0.0572487734455,0.654560354071,-0.0510611046211,-0.000729236410596,0.0,413.8013353132771,413.634223193499,416.6606606706534,414.275469444879
0.4200000000000001,-0.00654568328693,0.010966202009,10.1962310006,0.0230151323688,0.016161663017,0.0,-0.0456550862763,0.0736819706676,0.721448023243,-0.0533441673567,-0.0133477568601,0.0,427.7466751358851,426.67095965460675,426.51952324420154,426.32266325068025
0.48000000000000015,-0.00965689185539,0.015893021544,10.2444006444,0.0200032754399,0.0182196788645,0.0,-0.0582598630699,0.0902030712261,0.8840981443,-0.0496357080086,0.00401312927781,0.0,456.33124388057814,457.71488380290293,456.8095672637586,457.10347113232683
0.5400000000000001,-0.0135277131631,0.0216997777771,10.3000094422,0.0172914647154,0.0197672200795,0.0,-0.0709346748975,0.103089872795,0.969461002862,-0.056615324546,-0.00976657171378,0.0,433.2689750989315,432.10906019668704,433.84560294307465,433.25742901406943
0.6000000000000002,-0.0181909391123,0.0282285237922,10.3611198626,0.0140458697433,0.0195593585164,0.0,-0.0844917707675,0.114199687963,1.06747158747,-0.0533884913218,-0.017808806842,0.0,437.8966596023389,437.2273423906258,436.9178140801609,437.1845854340977
0.6600000000000003,-0.0236496021585,0.0353799944179,10.4275456325,0.0195143827211,0.0186588927777,0.0,-0.0973792031883,0.124691811263,1.14663690018,-0.022307784123,-0.0236572822073,0.0,431.5243496582742,431.03044666992,430.35313129780576,432.97447163110763
0.7200000000000003,-0.0299293193081,0.0432928841098,10.5010621256,0.0182606528934,0.0236893080408,0.0,-0.112467888224,0.138933815489,1.30373736628,-0.026915032417,0.00298909399096,0.0,456.0166460525693,458.1400436092482,455.2381270867394,454.8693072103208
0.7800000000000004,-0.0371826536005,0.0520133803703,10.5828973384,0.0172406252865,0.0239705067549,0.0,-0.129333895421,0.151649365343,1.42396091151,-0.0366489449378,0.00548538963955,0.0,444.0480065393714,444.2526458775287,446.38405077353156,445.5887980731801
0.8400000000000004,-0.0455117271723,0.0615070185611,10.6741381915,0.015177725536,0.025550118497,0.0,-0.148466248186,0.164557859697,1.6171462903,-0.0336342845168,0.0165938766202,0.0,466.9600232785922,467.82557607746475,467.7143505679589,467.94856776759576
0.9000000000000005,-0.0550419163671,0.0717514996926,10.7775358592,0.0164390011793,0.0274103758039,0.0,-0.169408897038,0.17709412673,1.82911737585,-0.0547081081275,0.025650281283,0.0,473.77625753523176,474.4719424610494,474.108750275235,472.48617907058946
0.9600000000000005,-0.0658726237735,0.0827565750169,10.8936115975,0.0132160666194,0.0292555608061,0.0,-0.191818025929,0.189358553318,2.03972057863,-0.0588387895358,0.0306291977693,0.0,474.2479428989879,474.6303196201491,473.68791841321473,473.36825586406195
1.0200000000000005,-0.0781079866465,0.0944244236727,11.0227634601,0.00986608465489,0.0314847829814,0.0,-0.216294090358,0.199155350135,2.26491789726,-0.0552347239301,0.0224708641051,0.0,479.5127225329007,478.89274515150896,478.62865095925235,478.9008154149221
1.0800000000000005,-0.0918262388302,0.106593886311,11.1638111239,0.00927570623667,0.0361814599972,0.0,-0.241522527482,0.206403870706,2.43630048366,-0.0383163578031,0.00118971801577,0.0,465.45849274292175,463.79003407862615,462.6547995423873,463.9834396420463
1.1400000000000006,-0.107035373096,0.119153939256,11.3121087875,0.00770248936053,0.0364822560276,0.0,-0.265469649673,0.212100892399,2.50680165679,-0.0301073844197,0.00537209746078,0.0,432.5928832041534,432.9448609307334,433.7131342760594,434.40143419617414
1.2000000000000006,-0.123781320608,0.132047523552,11.4671783016,0.0068200319794,0.036985388925,0.0,-0.29276866555,0.217597933058,2.66183006003,-0.0419056018661,0.00898219696368,0.0,460.2886616825494,460.5741584569056,460.27565398481823,459.3405600519714
1.2600000000000007,-0.142222655775,0.145253878508,11.632773259,0.00500897208293,0.0375174482032,0.0,-0.321990754247,0.222390453728,2.8575297228,-0.0338411598919,0.00699783548589,0.0,472.5701370209881,472.4170332993729,473.20479687190056,473.824499637111
